,id,name,dev,publisher,genre,language,tags,category,release,actual_price,discount,old_userscore,metascore,owners,followers
136,/app/336440,Super Cane Magic ZERO - Legend of the Cane Cane,"['Intragames Co.,Ltd.', 'Studio Evil']",['Studio Evil'],"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['English', 'Italian', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']","['Indie', 'RPG', 'Action', 'Adventure', 'Funny', 'Action RPG', 'Fantasy', 'Hack and Slash', 'Multiplayer', 'Co-op', 'Singleplayer', 'Local Co-Op', 'Local Multiplayer', 'Story Rich', 'Co-op Campaign', 'PvP', '4 Player Local', 'Colorful', 'Comedy', 'Loot']","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['May 30, 2019']",['$9.99'],['50%'],['92%'],['75%'],"['0 - 20,000']","['7,233']"
137,/app/488730,God's Trigger,"['One More Level', 'Techland Publishing']",['Techland Publishing'],"['Action', 'Indie']","['English', 'Polish', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'French', 'Japanese', 'Portuguese - Brazil']","['Action Roguelike', 'Top-Down Shooter', 'Hack and Slash', 'Twin Stick Shooter', ""Shoot 'Em Up"", 'Difficult', 'Fighting', 'Shooter', 'Platformer', 'Rogue-like', 'Action-Adventure', '2D', '3D', 'Top-Down', '2.5D', 'Split Screen', 'Comic Book', 'Action', 'Stylized', ""1990's""]","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']","['Apr 18, 2019']",['$3.74'],['75%'],['74%'],['75%'],"['50,000 - 100,000']","['11,371']"
138,/app/573410,AI War 2,"['Arcen Games, LLC']","['Arcen Games, LLC']","['Indie', 'Simulation', 'Strategy', 'in Early Access']",['English'],"['Strategy', 'Simulation', 'Grand Strategy', '4X', 'Space', 'Sci-fi', 'Tactical', 'RTS', 'Sandbox', 'Atmospheric', 'Co-op', 'Exploration', 'Tower Defense', 'Open World', 'Realistic', 'Singleplayer', 'Multiplayer', 'War', 'Management', 'Military']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Oct 22, 2019']",['$9.99'],['50%'],['88%'],['75%'],"['50,000 - 100,000']","['18,096']"
139,/app/736850,We. The Revolution,"['Klabater', 'Polyslash']",['Klabater'],['Strategy'],"['English', 'Polish', 'French', 'Russian']","['Historical', 'Political Sim', 'Adventure', 'Simulation', 'Choices Matter', 'Singleplayer', 'Investigation', 'Strategy', 'Story Rich', 'Turn-Based', 'Crime', 'Point & Click', 'Thriller', 'Mature', 'Puzzle', 'Hand-drawn', 'Visual Novel', 'Action', 'Action-Adventure', 'Crafting']","['Single-player', 'Steam Achievements']","['Mar 21, 2019']",['$4.99'],['75%'],['78%'],['75%'],"['200,000 - 500,000']","['16,280']"
140,/app/873940,Crying Suns,"['Humble Games', 'Alt Shift']",['Humble Games'],"['Indie', 'Strategy']","['English', 'French', 'German', 'Simplified Chinese', 'Russian', 'Spanish - Spain', 'Japanese']","['Strategy', 'Space', 'Indie', 'Rogue-lite', 'Pixel Graphics', 'Sci-fi', 'Post-apocalyptic', 'Tactical', 'Rogue-like', 'Real-Time with Pause', 'Story Rich', '2D', 'Singleplayer', 'Procedural Generation', 'RTS', 'Perma Death', 'Real Time Tactics', 'Hex Grid', 'Resource Management', 'Dark']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Sep 18, 2019']",[],[],['86%'],['75%'],"['100,000 - 200,000']","['29,002']"
141,/app/539470,Police Stories,['HypeTrain Digital'],['HypeTrain Digital'],"['Action', 'Indie', 'Simulation', 'Strategy']","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Polish', 'Spanish - Latin America']","['Action', 'Strategy', 'Simulation', 'Villain Protagonist', 'Co-op', 'Tactical', 'Shooter', 'Multiplayer', 'Top-Down Shooter', 'Indie', 'Online Co-Op', '2D', 'Pixel Graphics', 'Singleplayer', 'Atmospheric', 'Crime', 'Realistic', 'Violent', 'Gore', 'Difficult']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on TV', 'Remote Play Together']","['Sep 19, 2019']",['$5.99'],['60%'],['85%'],['75%'],"['200,000 - 500,000']","['54,097']"
142,/app/1121560,Atelier Ryza: Ever Darkness & the Secret Hideout,"['KOEI TECMO GAMES CO., LTD.']","['KOEI TECMO GAMES CO., LTD.']",['RPG'],"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']","['RPG', 'Anime', 'JRPG', 'Female Protagonist', 'Cute', 'Sexual Content', 'Singleplayer', 'Crafting', 'Adventure', 'Great Soundtrack', 'Fantasy', 'Turn-Based', 'Open World', 'Turn-Based Combat', 'Nudity', 'Action', 'Story Rich', 'Mature', 'Exploration', 'Character Customization']","['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet']","['Oct 28, 2019']",['$59.99'],[],['86%'],['75%'],"['200,000 - 500,000']","['87,955']"
143,/app/939850,The Dark Pictures Anthology: Man of Medan,"['BANDAI NAMCO Entertainment Europe', 'Supermassive Games']",['BANDAI NAMCO Entertainment Europe'],['Adventure'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Traditional Chinese', 'Spanish - Latin America', 'Russian', 'Simplified Chinese']","['Choices Matter', 'Adventure', 'Horror', 'Co-op', 'Multiplayer', 'Cinematic', 'Story Rich', 'Gore', 'Violent', 'Singleplayer', 'Atmospheric', 'Survival Horror', 'Psychological Horror', 'Quick-Time Events', 'Third Person', 'Action', 'Nudity', 'Local Multiplayer', 'Sexual Content', 'Female Protagonist']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Aug 29, 2019']",['$9.89'],['67%'],['73%'],['75%'],"['200,000 - 500,000']","['51,568']"
144,/app/742520,Astrologaster,['Nyamyam'],['Nyamyam'],"['Adventure', 'Casual', 'Indie']",['English'],"['Comedy', 'Funny', 'Story Rich', 'Interactive Fiction', 'Choose Your Own Adventure', 'Visual Novel', 'Villain Protagonist', 'Historical', 'Dark Comedy', 'Choices Matter', 'Conversation', 'Casual', 'Stylized', 'Medieval', 'Drama', 'Adventure', 'Singleplayer', 'Indie', 'Great Soundtrack', 'Atmospheric']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['May 9, 2019']",['$4.99'],['50%'],['95%'],['74%'],"['0 - 20,000']","['1,780']"
145,/app/594130,Winds of Change,['Klace'],['Klace'],"['Adventure', 'Indie', 'RPG', 'in Early Access']",['English'],"['Visual Novel', 'Story Rich', 'LGBTQ+', 'Romance', 'Choices Matter', 'Adventure', 'Point & Click', 'Indie', 'Choose Your Own Adventure', 'Dating Sim', 'Simulation', 'Anime', 'Dark', 'RPG', 'Female Protagonist', 'Violent', '2D', 'Cartoony', 'Beautiful', 'Stylized']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","['Aug 21, 2019']",['$11.99'],['40%'],['97%'],['74%'],"['20,000 - 50,000']",['0']
